"p_ID","Default_Names","Dead_Code","Total_Blocks"
46805684,0,0,24
46825156,0,0,383
46869428,8,0,292
46894728,1,0,11
46919510,3,0,57
46942454,0,0,214
46960280,0,0,44
46999452,2,0,37
47093646,1,0,61
47104100,0,0,179
47150834,0,1,73
47179114,0,0,40
47179150,0,0,37
47210984,9,0,279
47219418,0,0,69
47310980,12,42,185
47338178,1,3,18
47359712,1,0,73
47360298,0,0,54
47365370,0,0,12
47490042,1,0,16
47559104,1,0,49
47642864,1,0,19
47643968,0,4,375
47664170,1,0,5
47838600,6,1,224
47839638,2,0,129
47868240,0,3,36
47920390,0,0,9
47963494,0,0,25
48035270,6,18,367
48155866,1,0,10
48267518,0,0,25
48277436,0,0,146
48287170,10,15,376
48317890,0,0,44
48478086,1,0,208
48504792,1,0,145
48514772,1,0,29
48532738,1,0,2
48560524,0,0,5
48573344,0,0,12
48574628,0,0,4
48574872,0,0,34
48575940,0,0,4
48589680,0,3,19
48606098,47,1,651
48606472,1,0,11
48614572,0,2,60
48620846,0,0,8
48636994,1,0,135
48739578,0,0,32
48775806,0,0,4
48828756,0,0,17
48951390,2,2,294
48995274,8,0,601
48999100,0,0,134
49037910,14,1,336
49052710,0,0,13
49076912,0,0,18
49100686,0,0,26
49102722,0,0,26
49134396,0,0,6
49191882,0,0,346
49219230,0,13,162
49226678,5,2,120
49250366,17,1,215
49347738,1,0,4
49477556,0,0,161
49525782,2,0,18
49559672,2,2,109
49572432,0,0,19
49622464,0,0,66
49642736,11,1,459
49644196,0,0,4
49667454,0,0,301
49716864,0,1,46
49725060,0,2,37
49798940,0,0,74
49823080,1,0,7
49842892,5,0,26
49891854,1,0,29
49895852,26,30,546
49903286,0,0,36
49963492,0,0,62
49993268,0,0,41
49996600,3,2,66
50034130,0,0,124
50035292,0,0,8
50053412,2,0,59
50128064,2,1,7
50128534,1,0,8
50134766,0,1,65
50142052,1,0,62
50143710,1,0,19
50144382,0,0,138
50147256,1,0,24
50154330,0,0,43
50160672,4,0,494
50202496,1,0,59
50205796,1,0,64
50270686,1,0,131
50281862,56,0,2053
50282546,2,0,21
50387312,7,25,1118
50437642,1,0,41
50530516,0,0,12
50532006,0,0,166
50539056,1,0,54
50583096,3,0,20
50639654,0,0,18
